monthly_income,total_debt,num_credit_cards,payment_history,employment_years,age_group,marital_status,good_credit
1589.0,19042.0,7,0.85,28,3,2,0
3289.0,0.0,1,0.825,6,2,0,1
5584.0,12559.0,7,0.626,22,2,1,1
6594.0,13670.0,8,0.608,6,3,1,1
1684.0,36678.0,7,0.774,7,2,1,0
6180.0,15704.0,7,0.524,0,2,2,0
4852.0,7145.0,9,0.915,21,2,0,1
4180.0,12588.0,2,0.77,13,1,1,0
3652.0,20762.0,1,0.717,14,3,0,1
6064.0,11211.0,3,0.706,6,2,1,1
2688.0,20113.0,6,0.986,15,3,1,1
4744.0,1854.0,5,0.522,9,1,2,0
4128.0,13220.0,7,0.688,9,2,0,1
5542.0,8768.0,2,0.914,2,3,0,1
4343.0,11613.0,1,0.621,2,3,2,1
2873.0,23479.0,5,0.589,27,2,0,0
6292.0,11169.0,4,0.572,23,1,1,0
6497.0,8880.0,7,0.982,12,1,2,0
4485.0,30971.0,7,0.817,29,1,1,0
3971.0,19205.0,8,0.573,7,1,0,0
4281.0,17922.0,8,0.846,24,2,0,1
5822.0,1358.0,6,0.63,16,3,1,1
7535.0,14155.0,4,0.959,17,3,1,1
4319.0,11348.0,2,0.685,4,1,1,0
4168.0,16075.0,4,0.564,28,1,1,0
3938.0,13909.0,8,0.562,19,2,0,0
3401.0,10074.0,6,0.69,7,2,1,0
4033.0,355.0,8,0.614,29,3,2,1
4488.0,10989.0,0,0.98,6,2,2,1
800.0,0.0,3,0.684,10,1,2,0
7317.0,27456.0,5,0.755,20,3,1,1
2352.0,8269.0,1,0.914,0,1,2,0
4883.0,21584.0,4,0.67,10,1,2,0
3812.0,8542.0,1,0.538,13,1,1,0
1791.0,14639.0,9,0.514,10,3,1,0
6473.0,0.0,3,0.892,12,2,0,1
1849.0,1289.0,7,0.921,19,1,2,0
4554.0,12170.0,7,0.522,11,1,2,0
3983.0,17545.0,4,0.718,2,3,1,0
2251.0,19420.0,0,0.752,29,1,2,0
1711.0,30861.0,7,0.746,23,1,2,0
5133.0,20875.0,8,0.899,14,3,0,1
4759.0,0.0,6,0.797,22,3,1,1
6408.0,3021.0,8,0.669,11,2,1,1
1941.0,24388.0,7,0.939,8,1,2,0
3705.0,11988.0,1,0.795,3,3,1,1
1345.0,27731.0,7,0.61,3,3,1,0
3342.0,10057.0,7,0.567,1,2,0,1
2186.0,6939.0,8,0.939,22,2,1,1
6906.0,10467.0,5,0.771,19,1,1,1
5523.0,5173.0,5,0.918,17,1,2,1
5731.0,13342.0,2,0.967,23,2,2,1
4516.0,34341.0,9,0.535,8,1,1,0
6165.0,0.0,4,0.59,24,2,1,1
4410.0,28290.0,2,0.687,25,2,2,0
1710.0,7179.0,5,0.797,20,1,2,0
4231.0,5468.0,8,0.864,5,3,1,1
7507.0,4966.0,3,0.753,15,3,0,1
7366.0,8545.0,6,0.598,10,2,1,1
864.0,17458.0,5,0.888,11,3,2,0
5252.0,7665.0,5,0.859,29,1,1,1
7278.0,17839.0,5,0.98,3,1,1,1
2883.0,5144.0,9,0.752,16,2,0,1
1551.0,25741.0,1,0.65,7,2,1,0
4548.0,18791.0,6,0.581,27,1,1,0
5261.0,5134.0,4,0.967,1,1,0,0
1733.0,1316.0,7,0.908,15,2,2,1
1475.0,20001.0,4,0.606,11,1,0,0
2711.0,35875.0,7,0.624,18,2,1,0
2729.0,0.0,5,0.972,14,1,0,1
4572.0,22010.0,7,0.632,29,1,0,0
7425.0,8852.0,7,0.956,13,3,0,1
3179.0,16393.0,0,0.812,3,1,1,0
4304.0,11156.0,4,0.896,17,3,2,1
7149.0,0.0,8,0.665,11,1,2,0
4617.0,17455.0,6,0.892,20,1,2,0
1602.0,26964.0,8,0.577,14,1,1,0
800.0,15037.0,8,0.505,12,1,2,0
4512.0,21687.0,0,0.633,10,3,1,1
3742.0,9738.0,2,0.884,3,1,0,0
3553.0,0.0,5,0.817,20,2,0,1
4958.0,5723.0,2,0.945,27,3,2,1
800.0,22408.0,8,0.52,17,1,1,0
2755.0,24072.0,5,0.763,26,3,2,0
4533.0,35695.0,7,0.987,2,1,1,0
3208.0,5774.0,4,0.855,8,3,2,1
2584.0,9757.0,5,0.829,29,2,0,1
1749.0,6672.0,8,0.531,18,1,1,0
2913.0,23993.0,2,0.511,25,2,1,0
3577.0,0.0,5,0.978,12,1,2,0
5869.0,13980.0,4,0.848,22,3,1,1
3341.0,23238.0,6,0.614,21,2,0,0
1334.0,12500.0,3,0.814,6,2,2,0
10566.0,22724.0,6,0.714,15,1,0,0
4613.0,24143.0,1,0.821,12,2,1,1
1227.0,28019.0,4,0.907,16,1,0,0
3884.0,19315.0,0,0.889,17,2,1,1
2779.0,16853.0,0,0.557,29,3,1,1
5807.0,12106.0,1,0.986,15,2,1,1
4930.0,10572.0,0,0.766,23,1,0,1
3084.0,13103.0,9,0.544,18,2,2,0
2543.0,7254.0,9,0.875,14,3,2,1
3564.0,11376.0,5,0.989,7,3,2,1
4229.0,6660.0,8,0.557,21,2,1,1
4530.0,18844.0,5,0.649,1,3,1,0
4429.0,12484.0,6,0.921,11,2,1,1
7491.0,26956.0,9,0.709,8,2,2,0
3416.0,20806.0,6,0.907,25,1,0,0
2162.0,18068.0,5,0.713,1,2,1,0
3643.0,25461.0,6,0.959,27,3,1,1
800.0,5847.0,1,0.72,29,3,0,1
5686.0,0.0,3,0.911,7,1,1,1
4031.0,20554.0,7,0.681,18,3,2,0
7574.0,12211.0,9,0.516,26,3,1,1
5298.0,15773.0,3,0.57,13,2,1,1
5309.0,26352.0,1,0.763,7,1,1,0
4375.0,12586.0,7,0.903,9,3,1,1
7619.0,17663.0,8,0.563,17,2,1,1
6945.0,10927.0,7,0.67,3,3,2,0
3635.0,16561.0,6,0.961,6,3,0,1
5308.0,0.0,2,0.901,26,2,1,1
5734.0,5599.0,7,0.639,26,1,1,1
3316.0,7718.0,7,0.513,1,1,1,0
5400.0,9252.0,2,0.801,27,2,2,1
4390.0,41848.0,9,0.717,27,1,1,0
5515.0,18786.0,3,0.712,13,1,0,0
4502.0,39207.0,6,0.965,25,1,1,0
2295.0,17175.0,0,0.868,23,1,2,0
2864.0,0.0,5,0.576,12,2,0,1
2327.0,17367.0,8,0.555,28,3,0,0
6342.0,9678.0,1,0.569,14,1,0,0
2974.0,40963.0,8,0.529,7,3,0,0
6853.0,8103.0,9,0.718,20,1,2,0
4231.0,15372.0,2,0.522,5,1,0,0
5892.0,25298.0,0,0.849,15,1,1,1
3704.0,22439.0,8,0.549,4,3,1,0
5072.0,0.0,3,0.537,0,3,1,1
6268.0,19360.0,6,0.536,25,3,2,1
7280.0,19165.0,0,0.727,24,2,2,1
2323.0,11332.0,2,0.673,16,2,2,0
1121.0,309.0,0,0.548,12,3,1,1
6382.0,26277.0,2,0.543,8,3,1,1
3942.0,1312.0,5,0.85,0,3,0,1
3319.0,20085.0,2,0.6,16,1,2,0
4962.0,25484.0,1,0.963,6,1,2,0
6303.0,9606.0,0,0.961,22,1,0,1
2111.0,2013.0,7,0.889,17,1,0,1
6624.0,3286.0,7,0.782,3,3,2,1
2928.0,7615.0,8,0.921,8,1,0,0
5653.0,0.0,3,0.599,7,3,1,1
5894.0,13632.0,7,0.887,25,1,0,1
7291.0,23749.0,5,0.805,15,2,1,1
4432.0,7330.0,4,0.627,7,2,1,0
6618.0,19180.0,6,0.591,19,2,0,1
4795.0,6564.0,8,0.593,16,3,0,1
1828.0,11704.0,1,0.775,18,1,1,0
5244.0,11604.0,7,0.713,6,1,2,0
4075.0,35013.0,3,0.982,5,2,2,0
2052.0,32815.0,9,0.548,22,3,2,0
4961.0,20973.0,8,0.565,23,3,1,1
1964.0,0.0,4,0.598,9,2,0,1
4132.0,8547.0,2,0.923,23,2,0,1
7522.0,13541.0,3,0.683,27,2,2,1
4685.0,21659.0,3,0.916,10,2,0,1
1641.0,0.0,2,0.65,22,2,2,1
6194.0,13492.0,8,0.782,4,1,0,0
2681.0,0.0,1,0.774,6,2,1,1
1803.0,20695.0,4,0.896,25,3,0,1
6154.0,19776.0,3,0.608,15,2,1,1
5509.0,19374.0,0,0.661,1,3,0,1
4099.0,25459.0,6,0.712,13,3,1,1
800.0,12280.0,4,0.604,7,3,2,0
800.0,7902.0,4,0.607,11,3,0,0
7159.0,6224.0,9,0.632,22,2,0,1
800.0,22888.0,2,0.579,4,1,0,0
3977.0,4214.0,0,0.877,27,3,1,1
3436.0,23133.0,0,0.555,23,3,0,1
7054.0,4305.0,6,0.847,29,2,1,1
1616.0,21561.0,4,0.82,18,1,2,0
7825.0,2055.0,3,0.872,22,1,1,1
4952.0,19899.0,1,0.503,29,3,1,1
5112.0,23908.0,8,0.627,13,1,2,0
3474.0,7525.0,1,0.913,21,3,2,1
3855.0,11556.0,6,0.914,12,1,0,0
8105.0,10895.0,5,0.744,4,3,0,1
5646.0,4545.0,0,0.914,6,1,2,0
2350.0,8390.0,2,0.724,10,2,1,1
6954.0,17852.0,8,0.987,2,3,2,1
6030.0,20876.0,3,0.971,22,1,2,1
5000.0,0.0,7,0.764,13,2,2,1
3868.0,34621.0,5,0.772,1,3,1,0
4394.0,11270.0,9,0.825,3,1,0,0
2469.0,6702.0,7,0.515,26,2,2,1
8351.0,22215.0,2,0.842,24,3,1,1
7863.0,27670.0,3,0.68,3,2,1,1
3855.0,0.0,3,0.927,26,1,0,1
7646.0,6237.0,4,0.547,15,1,2,0
1559.0,22269.0,9,0.602,6,3,0,0
4342.0,34027.0,8,0.713,29,2,1,0
1678.0,20863.0,5,0.783,15,1,0,0
4755.0,21168.0,6,0.714,18,3,1,1
4819.0,32181.0,5,0.607,24,2,1,0
6505.0,26139.0,7,0.667,23,2,1,1
5277.0,9139.0,9,0.598,21,3,2,1
7296.0,17624.0,9,0.697,9,3,1,0
2485.0,23381.0,6,0.739,5,2,0,0
5864.0,31856.0,7,0.67,23,2,2,0
800.0,8904.0,0,0.6,18,2,1,0
7682.0,16077.0,9,0.941,4,1,0,0
5058.0,23130.0,2,0.534,12,2,0,0
4031.0,0.0,1,0.911,17,3,2,1
6399.0,0.0,1,0.652,23,1,0,1
2530.0,24459.0,6,0.64,1,3,2,0
6455.0,3166.0,5,0.698,23,1,1,1
3096.0,3838.0,5,0.705,2,2,2,0
6035.0,7214.0,7,0.857,26,2,0,1
3290.0,27709.0,8,0.758,15,3,2,0
974.0,9701.0,6,0.591,7,3,1,0
5358.0,12852.0,5,0.672,9,3,0,1
3247.0,25440.0,9,0.647,9,2,2,0
2664.0,21768.0,2,0.762,13,1,0,0
4991.0,24605.0,8,0.874,20,2,1,1
5608.0,26825.0,9,0.926,23,2,0,1
4079.0,24172.0,5,0.579,20,3,1,1
4661.0,22608.0,5,0.745,6,2,2,0
5775.0,45903.0,7,0.793,0,3,0,0
5335.0,13321.0,7,0.576,6,3,0,1
5814.0,0.0,9,0.88,27,1,1,1
8986.0,17085.0,1,0.703,5,1,0,0
5091.0,34020.0,4,0.862,1,2,1,0
3345.0,18776.0,0,0.743,5,3,0,1
7074.0,33724.0,1,0.879,10,3,0,1
5582.0,26690.0,6,0.64,27,3,2,1
4430.0,0.0,4,0.743,9,2,1,1
4281.0,5411.0,6,0.698,2,3,1,0
5854.0,10030.0,9,0.698,16,1,0,0
4498.0,6850.0,4,0.689,11,2,1,1
4764.0,7235.0,4,0.58,19,2,2,1
3271.0,21072.0,8,0.555,26,2,1,1
4800.0,19879.0,5,0.749,21,3,2,0
5948.0,15959.0,4,0.611,8,1,2,0
5858.0,21444.0,2,0.913,6,3,1,1
5204.0,24939.0,6,0.514,0,1,2,0
1403.0,12748.0,8,0.788,4,1,1,0
4390.0,10543.0,6,0.623,17,1,2,0
3689.0,34228.0,4,0.762,24,2,1,0
6672.0,18219.0,0,0.927,15,3,1,1
3306.0,26598.0,7,0.509,29,1,0,0
5845.0,18798.0,4,0.744,9,1,0,0
2229.0,16663.0,7,0.639,8,2,2,0
4925.0,29894.0,9,0.794,14,3,0,0
5946.0,27132.0,0,0.916,9,2,1,1
5458.0,19089.0,6,0.557,19,3,2,0
6727.0,20912.0,1,0.853,13,3,2,1
2985.0,13009.0,6,0.613,28,2,0,1
2999.0,13213.0,9,0.653,21,1,0,0
3828.0,0.0,5,0.617,19,2,1,1
4308.0,8811.0,2,0.531,17,3,0,1
5105.0,24532.0,6,0.801,29,3,2,1
4752.0,12594.0,4,0.795,4,2,2,0
5168.0,9784.0,0,0.696,29,3,2,1
7256.0,13935.0,7,0.8,9,3,1,1
2759.0,469.0,9,0.823,20,2,0,1
6255.0,5421.0,7,0.812,18,3,2,1
3716.0,15687.0,3,0.536,9,3,0,0
6601.0,33191.0,7,0.587,24,3,0,1
4748.0,18786.0,9,0.773,14,2,1,1
5701.0,12523.0,1,0.536,29,3,0,1
4332.0,8647.0,4,0.555,29,3,0,1
2806.0,0.0,1,0.959,28,1,1,1
2568.0,0.0,9,0.545,27,3,0,1
4179.0,11788.0,1,0.55,20,3,0,1
3707.0,16699.0,5,0.744,17,2,1,1
7054.0,9779.0,1,0.969,16,3,2,1
6116.0,13272.0,2,0.528,1,1,1,0
1546.0,179.0,2,0.915,10,1,0,1
4053.0,34153.0,0,0.508,24,1,1,0
4899.0,9160.0,8,0.889,10,2,0,1
4935.0,10007.0,1,0.724,0,3,1,1
1219.0,13906.0,9,0.559,12,2,0,0
1588.0,218.0,9,0.694,17,1,1,0
5839.0,15567.0,8,0.714,25,2,1,1
4620.0,28505.0,6,0.523,10,3,0,0
6441.0,34832.0,3,0.784,11,3,0,1
4811.0,13025.0,5,0.532,3,3,0,0
4003.0,27529.0,0,0.804,4,3,2,0
3945.0,2661.0,9,0.934,14,3,0,1
2940.0,26542.0,4,0.741,12,2,0,0
6810.0,18010.0,6,0.565,2,1,0,0
7460.0,20243.0,7,0.555,10,2,2,0
3454.0,20770.0,3,0.625,16,2,2,1
800.0,5888.0,8,0.836,29,3,2,1
2606.0,6201.0,3,0.851,8,3,1,1
9095.0,4133.0,4,0.655,19,1,0,1
6188.0,7242.0,1,0.824,23,3,1,1
4594.0,17483.0,0,0.795,0,2,0,1
2792.0,18932.0,2,0.905,13,3,1,1
8383.0,0.0,0,0.981,2,2,0,1
3214.0,33498.0,6,0.955,6,1,1,0
3637.0,14131.0,2,0.849,17,3,0,1
1854.0,3957.0,7,0.86,18,3,1,1
6660.0,5185.0,3,0.583,8,3,2,0
8110.0,0.0,0,0.52,19,3,0,1
3562.0,16770.0,6,0.913,1,3,2,0
6703.0,20408.0,3,0.841,9,2,1,1
5726.0,18984.0,4,0.767,26,1,2,0
4564.0,10304.0,0,0.8,17,1,1,1
4417.0,28714.0,7,0.695,3,1,0,0
8948.0,20960.0,3,0.773,5,2,0,1
4953.0,21089.0,2,0.748,24,1,1,0
7300.0,0.0,8,0.517,7,2,1,1
3336.0,18342.0,5,0.645,22,2,0,1
3211.0,3862.0,8,0.626,16,1,1,0
4566.0,9234.0,3,0.77,27,3,0,1
4836.0,3921.0,0,0.646,8,3,0,1
3154.0,18990.0,4,0.691,15,1,1,0
4606.0,0.0,9,0.814,6,3,1,1
5523.0,0.0,5,0.882,16,3,0,1
5247.0,22000.0,9,0.764,18,3,0,1
5394.0,11610.0,5,0.566,4,3,1,0
3237.0,4997.0,6,0.836,9,3,2,1
11059.0,35900.0,2,0.748,5,2,1,1
3339.0,17600.0,5,0.554,10,1,2,0
5586.0,15043.0,0,0.999,23,3,2,1
5297.0,33101.0,5,0.601,2,1,2,0
2557.0,31393.0,6,0.946,9,1,2,0
4611.0,29428.0,4,0.991,18,3,2,1
800.0,11241.0,8,0.506,16,2,1,0
4450.0,23581.0,6,0.599,26,1,2,0
5334.0,15156.0,2,0.736,6,3,0,1
6827.0,16615.0,8,0.707,6,3,2,0
6626.0,17044.0,5,0.802,13,2,2,0
5528.0,16154.0,1,0.526,25,2,2,1
1761.0,14738.0,1,0.905,14,3,0,1
4026.0,20016.0,5,0.675,1,3,2,0
2185.0,15352.0,2,0.844,26,3,2,1
6848.0,26331.0,5,0.6,12,3,0,1
5139.0,9267.0,1,0.765,28,3,2,1
2561.0,20623.0,1,0.762,19,2,1,1
7536.0,18369.0,2,0.595,14,1,2,0
4035.0,33879.0,5,0.898,27,2,1,1
1441.0,22106.0,3,0.545,10,1,2,0
7535.0,18731.0,7,0.755,19,1,0,1
5083.0,9686.0,6,0.824,26,2,2,1
7661.0,11061.0,5,0.829,8,3,0,1
800.0,4752.0,7,0.618,0,2,0,0
1353.0,18647.0,1,0.75,12,3,0,0
1388.0,9862.0,3,0.551,2,2,0,0
3581.0,4470.0,4,0.521,5,3,2,0
5366.0,23656.0,1,0.841,14,2,0,1
1613.0,28091.0,2,0.627,22,3,0,0
5449.0,21355.0,1,0.868,29,1,1,1
4938.0,8242.0,4,0.813,12,1,1,1
5440.0,26436.0,1,0.647,1,2,0,0
3700.0,12526.0,0,0.648,15,1,0,1
5934.0,11886.0,4,0.968,5,1,1,1
2848.0,17074.0,5,0.9,27,1,0,1
7796.0,7376.0,0,0.623,5,3,1,1
6854.0,15661.0,2,0.544,12,3,2,0
2486.0,4044.0,0,0.633,26,1,1,1
2418.0,10254.0,9,0.604,11,2,0,0
4742.0,12992.0,8,0.641,27,2,2,1
4052.0,2636.0,8,0.956,24,3,0,1
7561.0,571.0,2,0.858,16,2,0,1
1889.0,7943.0,8,0.958,29,3,1,1
4064.0,21095.0,6,0.985,10,1,1,0
6916.0,14601.0,5,0.724,9,2,1,1
4817.0,16985.0,0,0.546,21,3,2,0
2968.0,11292.0,1,0.772,21,3,2,1
2928.0,11771.0,4,0.885,29,1,1,0
5186.0,8964.0,7,0.585,4,1,1,0
4675.0,0.0,0,0.779,3,3,2,1
4057.0,5562.0,4,0.874,1,3,1,1
5513.0,8459.0,7,0.757,18,1,1,1
6726.0,15432.0,6,0.546,28,1,2,0
1913.0,19458.0,8,0.987,15,3,0,0
6745.0,21467.0,5,0.752,11,2,1,0
4274.0,23579.0,1,0.726,19,2,0,1
2222.0,27713.0,9,0.844,24,1,2,0
6708.0,6014.0,8,0.967,3,1,2,0
2479.0,10569.0,3,0.825,6,2,0,1
3183.0,16822.0,6,0.663,20,1,2,0
7299.0,537.0,4,0.713,7,3,2,1
3696.0,12210.0,5,0.906,16,3,0,1
7125.0,10835.0,6,0.638,9,2,2,1
5111.0,13781.0,0,0.562,1,3,0,1
5540.0,10956.0,0,0.876,21,1,1,1
6176.0,15506.0,3,0.901,8,3,2,1
2732.0,5016.0,3,0.95,2,2,0,1
6612.0,10638.0,4,0.846,21,3,2,1
5771.0,26808.0,4,0.794,6,2,0,0
5275.0,16480.0,1,0.771,25,3,2,1
8636.0,0.0,9,0.508,23,1,1,0
8164.0,8171.0,1,0.536,6,1,2,1
9140.0,11760.0,2,0.823,16,2,0,1
2449.0,16494.0,1,0.514,25,1,1,0
1351.0,14174.0,5,0.635,21,1,2,0
3241.0,26500.0,0,0.742,1,3,1,0
7311.0,34228.0,8,0.722,18,3,2,1
3843.0,7685.0,8,0.518,3,2,2,0
4209.0,0.0,0,0.917,1,1,2,0
4187.0,13169.0,1,0.945,3,2,2,1
3621.0,16054.0,2,0.841,16,2,1,1
6137.0,7384.0,4,0.51,12,3,0,1
3648.0,4298.0,0,0.77,26,2,0,1
6867.0,18730.0,7,0.732,21,3,0,1
6131.0,16604.0,6,0.799,29,2,1,1
5012.0,6013.0,3,0.962,9,2,1,1
2610.0,16143.0,8,0.822,13,3,1,0
3301.0,0.0,7,0.67,29,1,0,1
4855.0,16263.0,0,0.641,2,2,1,1
9352.0,14863.0,6,0.512,21,3,1,1
3317.0,33849.0,4,0.604,9,3,0,0
2688.0,647.0,2,0.805,27,1,1,1
5039.0,6375.0,1,0.981,19,1,2,1
4118.0,3460.0,5,0.988,11,1,2,0
5893.0,30247.0,3,0.797,0,1,2,0
7366.0,12903.0,3,0.702,16,2,2,1
2477.0,7491.0,4,0.739,10,2,2,0
5628.0,21993.0,3,0.772,7,3,1,1
6120.0,0.0,0,0.994,26,2,1,1
6288.0,14520.0,3,0.774,15,2,0,1
5235.0,0.0,7,0.534,9,2,1,1
3582.0,20067.0,1,0.95,18,3,0,1
6029.0,33327.0,9,0.54,21,2,0,0
4680.0,26029.0,7,0.665,29,2,1,1
6402.0,4228.0,8,0.933,0,1,2,0
2509.0,12600.0,9,0.582,18,3,1,0
4622.0,17461.0,7,0.759,17,1,1,1
1890.0,16579.0,8,0.612,17,2,2,0
2956.0,24444.0,9,0.953,7,1,0,0
9030.0,18517.0,4,0.851,29,3,2,1
8439.0,24522.0,9,0.564,8,1,1,0
5494.0,11790.0,8,0.553,2,1,0,0
2672.0,10115.0,5,0.799,25,3,2,1
3758.0,15344.0,1,0.51,11,1,0,0
8462.0,23201.0,2,0.966,15,3,2,1
8084.0,2410.0,8,0.911,11,2,1,1
4316.0,25347.0,9,0.755,12,2,0,0
6822.0,0.0,4,0.846,15,2,1,1
5084.0,16564.0,3,0.515,12,1,1,0
3490.0,18198.0,5,0.968,21,2,1,1
5581.0,17971.0,8,0.777,1,2,2,0
7480.0,19913.0,4,0.73,11,2,2,1
6294.0,10209.0,2,0.524,8,3,0,1
7470.0,23769.0,0,0.797,15,1,0,0
6203.0,16216.0,6,0.643,4,1,2,0
5409.0,8699.0,2,0.718,4,3,0,1
7869.0,12279.0,5,0.549,13,3,1,1
8439.0,15921.0,4,0.567,9,1,1,0
4834.0,22716.0,1,0.503,10,2,0,0
4554.0,22368.0,7,0.799,21,1,1,0
2812.0,18670.0,6,0.888,9,1,2,0
3178.0,18594.0,7,0.575,28,3,2,1
3791.0,13156.0,0,0.905,24,2,2,1
5054.0,23265.0,3,0.933,9,3,0,1
8321.0,8971.0,4,0.843,1,1,2,0
5588.0,3027.0,1,0.757,8,3,2,1
4368.0,22900.0,8,0.607,2,1,0,0
4825.0,29017.0,1,0.655,7,3,0,0
800.0,22832.0,2,0.678,0,2,1,0
5638.0,28825.0,0,0.994,25,3,1,1
2452.0,14647.0,4,0.964,29,1,2,1
865.0,3669.0,3,0.654,11,3,2,0
4278.0,12905.0,3,0.769,16,3,1,1
