years_experience,education_level,skills_score,interview_score,gender,ethnicity,hired
15,2,56.6,65.7,1,1,1
17,2,40.7,96.0,1,3,0
18,1,62.1,64.7,1,1,1
15,2,87.6,83.4,0,1,1
22,1,66.1,88.1,0,3,1
5,2,78.7,63.7,0,1,0
2,2,72.0,67.0,0,2,0
6,4,73.2,51.7,1,1,1
10,1,65.6,76.7,1,2,1
1,4,84.9,48.2,0,2,0
2,2,68.8,70.3,1,1,0
5,4,81.5,60.4,0,2,1
3,4,45.7,96.8,0,2,1
10,4,75.1,52.6,1,2,1
19,1,58.1,70.3,0,1,1
5,2,72.5,19.6,1,2,0
12,4,85.6,66.5,1,1,1
18,3,79.6,37.1,1,1,1
12,2,92.2,84.4,0,3,1
17,2,78.8,100.0,0,1,1
15,1,84.1,48.2,0,2,1
21,3,67.7,77.6,0,2,1
3,3,58.0,55.5,1,2,0
23,2,87.4,44.0,1,1,0
9,1,72.0,80.4,0,2,0
3,4,100.0,69.0,1,3,0
8,1,100.0,55.1,0,2,1
22,4,81.4,59.4,0,1,1
24,4,81.5,84.9,1,3,1
7,3,45.6,74.9,0,1,1
22,3,57.4,65.1,1,1,1
21,1,58.2,92.0,0,1,1
17,2,100.0,65.0,0,1,1
21,2,91.5,55.3,0,1,1
23,2,59.6,72.2,1,2,1
4,3,78.1,59.7,0,3,0
17,4,75.4,25.4,0,3,0
18,4,52.6,71.4,1,3,1
19,4,79.8,73.7,1,1,1
18,3,73.0,83.7,1,3,1
7,1,73.1,51.1,1,1,0
3,3,45.5,84.2,1,1,0
2,1,64.7,70.2,0,1,0
12,1,74.4,56.8,0,3,0
23,4,72.4,50.0,1,1,1
20,1,79.7,70.3,1,2,0
5,1,62.5,59.6,1,2,0
21,2,68.1,56.2,0,2,1
9,3,73.4,96.6,1,2,1
2,3,88.4,95.9,1,3,0
22,2,67.2,46.5,1,3,0
5,2,52.2,50.2,0,2,0
21,2,56.7,100.0,0,3,1
24,4,54.2,64.7,1,3,1
14,3,68.2,49.5,1,3,0
10,4,100.0,55.7,0,3,1
11,1,68.9,73.7,1,3,0
1,4,87.0,45.8,0,1,1
9,2,66.2,73.0,1,3,0
11,3,59.4,57.2,0,3,0
20,4,53.4,78.1,0,2,1
18,4,37.9,80.7,1,3,1
3,3,42.9,47.4,1,1,0
14,2,59.1,64.1,1,2,0
15,4,73.5,86.9,1,3,1
16,4,96.5,87.0,1,1,1
17,1,75.3,86.4,1,3,0
7,4,66.1,59.7,1,2,0
14,2,57.0,45.6,1,1,0
6,1,67.1,22.4,0,1,0
21,2,50.4,85.3,1,3,0
6,3,56.5,47.8,1,1,0
22,4,81.5,90.0,0,2,1
15,2,68.8,81.0,1,3,0
15,3,65.9,45.7,0,1,1
6,4,62.4,75.8,1,3,0
11,1,75.7,60.4,0,2,1
1,4,64.7,52.5,1,3,0
21,3,73.2,73.3,0,3,1
12,2,78.8,100.0,1,1,1
2,2,51.8,100.0,0,2,1
7,3,57.9,90.4,0,2,1
0,4,83.2,61.8,1,1,0
23,1,74.3,73.2,0,3,1
14,1,77.2,90.6,1,3,0
16,2,83.1,91.1,0,2,1
21,2,81.0,50.5,1,3,0
14,2,52.0,47.3,1,3,0
16,4,62.1,74.1,0,1,1
20,4,94.2,76.6,0,2,1
1,1,75.4,67.9,1,1,0
6,2,67.8,76.0,0,1,1
13,3,62.2,66.8,0,3,1
0,4,42.3,47.8,1,3,0
0,4,81.1,70.8,0,2,1
9,3,62.9,71.1,0,2,1
10,4,74.0,39.2,0,3,1
15,1,65.8,39.3,0,1,1
23,2,76.9,69.2,1,2,1
22,4,62.3,66.3,0,3,1
14,1,80.5,24.3,0,3,0
14,3,77.6,54.9,1,3,0
7,4,80.9,66.9,0,2,1
7,1,85.2,51.9,1,3,0
24,1,79.8,82.1,0,3,1
9,3,58.0,41.7,0,2,1
4,3,92.0,61.4,0,2,1
16,4,67.6,65.3,1,1,1
23,4,92.8,83.7,0,3,1
22,4,79.9,93.2,0,1,1
0,1,100.0,76.5,1,2,0
3,3,54.2,76.3,1,1,0
12,1,65.6,70.0,0,2,0
7,4,97.9,49.4,1,3,0
9,1,57.6,97.2,1,3,0
23,4,59.2,72.4,0,3,1
18,3,67.5,88.2,0,3,1
7,1,74.1,43.0,1,1,0
7,2,67.9,65.3,1,3,0
0,1,81.8,38.3,0,3,0
24,3,97.5,53.8,0,1,1
12,2,69.4,68.7,0,3,1
19,1,51.3,64.9,1,2,0
15,4,70.8,77.0,0,2,1
4,1,60.0,34.5,1,1,0
5,3,100.0,83.8,1,3,0
13,2,71.3,37.2,1,2,0
20,3,86.6,53.5,0,3,1
7,4,70.7,49.8,1,2,0
8,3,90.9,47.9,0,2,1
17,4,62.0,60.6,0,2,1
9,2,36.3,100.0,1,3,0
22,3,93.9,44.4,1,2,1
14,3,94.4,70.0,0,3,1
17,3,44.9,45.5,0,1,1
1,3,87.3,64.8,0,2,1
6,2,50.1,80.0,1,2,0
8,2,66.4,37.7,0,2,0
17,2,65.4,89.7,1,3,0
12,4,66.5,86.9,1,1,1
0,1,85.0,59.2,1,3,0
19,2,65.0,39.8,0,2,1
1,4,80.5,63.1,0,3,1
7,3,72.6,47.9,1,1,0
8,2,94.9,70.6,1,2,0
15,3,64.0,72.0,1,3,0
13,4,65.8,64.5,0,2,1
6,2,75.9,19.1,0,3,0
15,1,38.8,76.6,1,3,0
18,3,97.4,70.8,0,2,1
16,4,87.5,90.6,0,1,1
1,1,47.1,42.8,0,3,0
8,2,77.2,60.5,0,3,0
12,2,63.4,60.5,0,2,1
18,2,86.9,50.7,1,3,1
2,4,82.3,21.8,0,1,0
24,2,94.8,55.6,0,1,1
5,2,62.0,50.8,0,3,0
14,3,60.8,38.6,1,1,1
19,1,62.7,77.3,1,2,1
20,3,75.7,65.2,1,2,1
23,1,68.2,54.8,1,2,1
19,1,45.9,50.3,1,2,0
19,2,67.2,67.9,0,2,1
20,1,58.7,27.2,0,1,1
17,4,69.5,88.8,0,3,1
24,2,62.2,70.7,1,1,1
0,1,81.6,73.3,1,1,0
12,4,44.4,67.9,0,1,1
4,2,78.4,79.8,0,2,1
19,2,93.2,50.5,1,2,1
17,2,66.2,86.0,1,1,1
10,2,88.8,47.1,0,1,1
18,2,81.9,67.2,1,3,1
5,1,58.9,68.6,1,1,0
24,3,93.6,63.0,1,2,1
21,3,100.0,100.0,0,3,1
9,3,45.6,57.5,0,2,1
5,1,56.3,61.4,1,3,0
5,4,73.0,65.4,1,2,1
15,3,97.8,74.8,1,3,1
24,3,59.3,46.2,0,3,1
3,1,69.7,66.7,0,1,0
15,1,85.3,84.2,1,1,0
8,4,69.4,89.9,0,3,1
10,1,94.7,57.2,0,3,0
7,2,75.4,64.1,1,1,0
5,3,65.1,48.6,0,1,1
14,2,35.5,73.0,0,2,1
7,2,81.7,54.4,0,1,1
1,2,59.8,70.9,0,1,0
4,4,68.0,55.3,0,1,1
11,1,70.0,49.0,1,2,0
2,1,54.2,55.7,1,3,0
3,4,77.7,80.6,1,3,0
23,2,60.2,56.2,1,2,1
6,4,91.6,49.1,1,3,0
9,1,100.0,76.5,1,3,0
3,1,66.0,15.9,1,3,0
8,2,82.4,64.4,1,2,0
24,3,69.1,43.9,1,2,1
3,4,62.6,98.5,1,3,1
11,4,68.6,64.1,1,3,1
5,2,83.3,62.2,1,1,1
12,4,80.1,100.0,1,1,1
21,3,55.4,42.8,0,2,1
20,2,64.7,70.8,1,3,0
9,4,86.0,80.6,0,2,1
15,4,86.2,100.0,0,2,1
9,1,59.8,81.7,0,3,1
5,1,81.4,36.7,1,1,0
1,4,80.8,63.3,1,2,0
19,4,52.8,62.4,0,2,1
22,1,53.4,100.0,0,1,1
13,2,85.6,80.8,1,2,1
6,4,75.5,73.0,0,1,1
15,1,63.4,92.2,1,1,1
10,2,96.3,41.8,0,2,1
20,1,61.6,81.4,1,1,1
8,2,62.7,59.5,1,2,0
3,4,80.7,59.9,1,2,0
24,4,85.6,100.0,0,2,1
8,2,52.0,53.2,0,3,0
15,2,62.1,63.5,1,1,1
9,4,100.0,81.2,1,1,1
24,4,39.0,90.5,0,1,1
19,4,63.1,83.4,1,2,1
11,4,73.6,32.1,0,1,1
16,4,77.2,56.6,0,3,1
5,3,78.9,89.4,1,3,0
10,4,52.4,83.3,0,2,1
2,3,84.8,54.5,1,3,0
18,2,56.2,43.5,0,1,0
2,4,85.0,67.6,0,3,0
24,3,67.6,54.0,1,2,1
14,1,65.8,61.3,1,2,0
14,4,69.3,64.9,1,3,0
21,2,62.6,36.9,0,3,1
14,2,63.6,40.5,1,2,0
14,3,78.9,90.0,0,1,1
4,4,39.6,47.1,0,3,0
21,1,71.9,36.6,1,3,0
6,4,62.8,51.1,1,1,0
10,3,60.0,44.9,0,2,1
20,1,65.9,61.9,1,3,0
24,2,61.9,98.0,1,1,1
15,4,51.5,45.3,0,3,1
24,3,34.8,43.2,1,2,0
1,3,69.6,88.8,1,2,0
14,1,66.3,71.3,1,2,0
5,4,68.7,55.2,1,1,0
23,3,73.8,72.7,0,3,1
2,4,89.6,51.8,0,3,1
16,2,84.1,88.6,0,1,1
17,4,59.2,85.3,0,3,1
3,3,55.7,94.2,0,3,0
9,4,59.5,35.0,1,2,1
8,2,59.4,26.5,0,3,0
13,1,62.2,77.5,1,2,0
23,1,83.6,75.7,0,1,1
1,1,75.7,67.4,0,3,0
6,3,48.0,82.1,1,3,0
1,4,81.8,73.2,0,2,1
16,1,80.8,81.1,1,1,1
17,2,78.4,74.0,1,3,1
9,3,79.3,54.7,1,1,0
11,3,61.3,46.5,0,1,1
22,3,100.0,80.9,1,3,1
15,2,59.9,64.2,0,1,1
19,4,79.8,55.6,1,2,1
5,3,74.2,72.8,0,3,1
1,3,85.1,99.6,0,2,1
13,1,80.3,41.4,1,2,0
16,2,67.4,17.4,0,1,1
23,3,83.0,83.2,1,3,1
6,3,78.8,59.1,1,3,0
5,3,73.4,39.9,0,1,1
3,4,54.2,64.8,1,3,0
9,4,49.9,60.4,1,3,0
12,2,47.1,92.4,0,1,1
0,2,69.4,53.4,1,2,0
23,2,66.8,59.7,0,3,1
10,1,66.9,57.4,1,3,0
3,2,48.2,66.6,1,2,0
24,4,51.7,76.4,0,1,1
8,4,41.0,56.6,0,2,1
15,4,67.3,83.7,1,2,1
1,2,92.9,62.9,1,2,0
0,2,67.1,81.5,1,1,0
3,2,63.1,78.8,0,2,1
24,2,62.4,50.3,0,2,1
22,4,79.2,67.1,0,1,1
6,2,68.6,66.6,1,2,1
24,4,66.8,55.7,1,2,1
9,2,100.0,84.0,0,1,1
13,2,77.2,65.6,0,1,1
3,2,76.2,89.1,0,1,1
12,2,48.6,46.0,0,1,0
15,2,77.5,88.1,0,2,1
23,1,91.8,54.5,1,1,1
2,2,72.3,62.9,1,2,0
17,4,43.5,100.0,1,1,1
18,1,57.4,18.5,1,1,0
22,3,70.5,40.6,1,2,1
4,1,73.0,78.0,1,3,0
22,2,60.3,53.2,1,2,1
1,4,59.9,69.9,1,1,0
19,1,68.6,67.6,1,3,0
8,4,73.8,63.7,1,1,1
6,1,68.3,50.2,1,1,0
4,4,65.1,32.8,1,2,0
12,3,66.9,68.3,1,2,1
5,2,77.3,86.7,0,3,0
0,4,85.4,57.9,0,3,0
12,1,70.2,68.8,1,3,0
2,2,77.6,72.7,0,1,0
7,3,63.7,29.6,0,3,0
5,4,39.9,65.1,1,3,0
12,2,60.5,66.9,1,3,0
22,4,59.1,41.0,1,2,0
17,3,67.4,49.4,1,1,1
12,1,65.8,78.9,1,3,0
2,4,60.6,78.1,0,3,0
3,2,67.7,91.7,1,1,0
0,2,78.5,49.3,1,1,0
11,3,96.7,87.8,0,1,1
7,1,63.3,78.6,0,3,0
10,3,100.0,47.7,0,2,1
2,2,70.5,78.2,1,3,0
9,1,57.8,81.5,1,2,0
5,3,63.2,69.5,0,1,1
2,4,75.8,35.5,1,2,0
22,1,67.0,17.8,1,2,0
15,2,73.1,90.9,1,3,1
14,4,81.5,41.2,1,2,1
14,4,58.9,37.5,0,1,1
20,2,77.1,46.5,0,1,1
10,2,76.6,64.8,0,1,1
22,2,60.1,86.7,0,3,1
3,3,78.2,49.2,0,2,0
22,3,65.9,81.0,0,1,1
4,2,69.1,63.7,0,2,0
9,2,74.0,79.5,0,3,1
18,4,63.2,92.7,0,2,1
5,2,96.6,33.3,0,1,1
13,2,75.4,49.6,1,2,1
18,3,74.0,75.6,0,3,1
15,3,69.7,97.2,0,3,1
24,1,70.1,78.6,0,1,1
2,3,61.3,65.6,1,1,0
1,1,79.1,40.7,1,2,0
20,4,55.7,17.1,1,2,0
9,2,73.2,80.2,1,3,0
23,1,75.1,60.0,1,1,1
8,1,66.5,55.1,1,3,0
13,4,82.2,75.3,0,3,1
6,4,97.5,99.3,1,3,1
16,2,82.8,76.3,0,3,1
6,4,73.7,61.8,1,3,1
23,4,70.9,89.2,0,3,1
8,4,74.6,73.0,0,3,1
14,1,69.3,58.0,1,3,0
21,3,64.3,100.0,0,3,1
21,1,68.1,48.5,0,2,0
16,3,88.2,55.5,0,1,1
19,1,86.8,56.3,1,2,0
9,3,48.0,44.4,1,3,0
20,4,56.9,55.3,0,1,1
14,4,60.9,66.3,0,1,1
23,1,88.4,48.5,1,2,1
10,4,45.2,20.7,0,1,0
12,3,67.9,88.5,0,3,1
6,3,96.7,72.3,0,2,1
10,4,75.1,100.0,1,1,1
22,1,58.0,38.1,1,2,0
3,4,42.6,41.6,1,2,0
8,2,98.7,15.7,1,3,0
5,3,73.7,66.8,1,3,0
15,4,68.8,43.6,1,1,1
6,3,87.3,69.9,1,2,0
7,3,78.3,69.0,0,3,0
21,4,56.7,62.8,0,2,1
5,1,85.0,75.8,1,3,0
8,3,97.2,92.2,1,3,0
24,1,87.1,87.7,1,1,1
12,2,54.1,62.2,1,1,1
6,1,56.0,56.9,1,1,0
5,1,75.2,100.0,1,2,0
18,1,93.8,60.5,0,2,1
8,3,67.0,35.4,1,1,0
11,3,58.8,36.3,1,2,0
13,4,56.3,66.4,1,2,1
15,1,57.5,73.5,1,2,0
21,1,65.8,56.3,1,1,1
10,3,75.7,56.2,1,3,0
12,4,92.5,68.3,0,2,1
7,3,89.4,94.2,1,3,1
6,4,92.2,69.5,0,2,1
9,1,74.8,70.5,1,1,1
22,1,59.8,60.7,0,2,1
2,2,53.1,100.0,0,2,1
24,1,66.7,36.2,0,1,1
16,1,43.2,59.0,1,2,1
16,1,71.5,98.8,0,3,1
5,4,63.5,88.9,1,2,1
7,2,69.7,72.8,0,3,0
9,3,59.4,65.0,0,2,1
8,3,77.3,93.2,0,1,1
8,4,53.2,68.2,0,1,1
8,3,71.4,62.8,1,1,0
22,1,65.5,83.8,0,2,1
19,2,67.5,69.0,1,2,1
13,3,80.4,37.9,1,2,0
10,4,93.0,78.7,0,3,1
6,2,81.2,85.6,0,1,1
6,4,76.6,65.3,0,1,1
13,2,45.9,92.9,1,3,0
16,3,68.1,54.0,0,2,1
20,1,70.7,72.9,1,2,1
17,1,63.2,100.0,0,3,1
22,4,90.6,79.1,1,2,1
15,1,72.7,85.0,1,3,0
18,4,64.2,2.1,0,1,1
5,2,100.0,66.8,1,2,0
16,2,73.1,72.4,0,3,1
2,1,54.3,96.9,1,2,0
2,4,76.0,61.3,1,2,0
18,1,66.6,60.9,1,3,0
14,3,58.5,61.6,0,3,1
6,2,71.0,55.9,0,3,0
8,1,100.0,75.3,1,2,0
5,1,77.2,54.1,1,2,0
2,2,61.4,100.0,0,2,0
4,1,100.0,54.1,0,3,0
6,4,64.3,80.0,1,2,0
20,1,66.2,82.0,0,3,1
18,1,43.2,85.0,0,2,1
2,3,99.1,77.7,1,3,0
23,2,58.4,39.9,1,1,0
23,3,33.7,66.7,0,1,1
23,4,84.1,95.2,0,1,1
13,4,30.9,55.0,1,3,0
5,4,91.2,53.5,0,1,1
20,1,67.1,43.5,0,3,0
0,1,67.5,45.8,1,3,0
6,2,63.9,94.3,0,3,0
7,1,38.7,45.1,0,3,0
1,1,80.7,0.0,0,1,0
19,1,80.4,60.2,0,2,1
18,1,64.1,51.3,1,3,0
0,2,65.7,65.1,0,2,1
1,3,58.9,68.6,1,1,0
10,3,70.2,79.8,1,1,0
22,2,88.2,70.6,0,1,1
2,3,77.6,70.9,1,3,0
6,2,70.8,55.1,0,2,0
12,3,91.1,55.1,0,3,1
1,1,91.6,59.1,1,2,0
15,4,36.3,92.2,1,3,0
10,3,84.0,65.6,1,1,1
7,1,88.1,70.8,1,2,0
1,2,41.0,47.8,0,3,0
18,2,50.9,61.1,1,3,0
13,4,75.3,24.5,1,1,0
21,3,69.5,75.3,0,2,1
4,4,59.6,98.1,1,3,0
10,3,61.7,40.0,1,2,1
7,1,84.0,100.0,1,1,1
1,4,89.1,86.0,1,3,0
5,2,81.2,51.1,1,3,0
3,3,51.3,81.0,1,1,0
18,1,74.1,72.2,0,3,1
2,4,69.3,64.5,1,3,0
19,2,67.7,52.4,1,1,1
14,1,54.0,76.1,1,3,0
12,1,74.6,96.1,0,1,1
24,4,69.7,46.6,1,2,1
4,2,90.3,57.3,1,2,0
23,4,95.5,60.6,0,3,1
13,3,84.3,62.3,0,2,1
18,2,76.4,77.0,1,2,1
4,3,78.1,21.9,0,2,0
4,3,83.6,85.3,1,3,0
22,3,69.1,87.3,0,1,1
8,4,83.5,85.3,1,3,1
7,3,64.0,55.9,0,1,1
10,1,81.7,39.4,1,3,0
2,1,49.5,63.4,1,3,0
19,4,78.1,78.6,1,2,1
19,2,68.0,79.7,0,1,1
4,1,60.4,21.0,1,3,0
11,1,74.3,62.6,1,2,0
16,4,63.1,95.3,0,2,1
16,4,55.6,80.3,1,1,1
1,2,86.2,64.1,1,3,0
19,2,63.3,47.6,1,2,0
2,3,57.1,59.7,1,2,0
9,1,84.6,48.8,0,3,0
5,2,84.7,66.5,1,1,0
1,3,99.9,62.9,0,1,1
24,1,70.0,87.6,0,1,1
20,2,43.6,60.2,0,1,1
17,4,62.3,59.9,1,2,1
16,2,75.4,76.0,1,1,1
21,2,48.0,56.3,1,2,1
21,4,99.1,94.9,0,1,1
1,4,70.6,94.7,0,3,1
9,3,70.1,83.4,1,3,0
12,4,59.3,61.2,0,3,1
4,4,86.3,54.2,1,1,1
6,4,68.1,54.8,0,1,1
0,2,61.3,97.8,1,2,0
5,4,75.9,55.2,0,1,1
12,2,65.7,53.9,0,2,1
19,3,56.9,64.6,1,2,1
1,4,78.4,79.3,1,2,1
12,3,92.5,64.9,0,3,1
16,2,94.1,91.7,1,1,1
9,1,62.6,66.9,1,3,0
21,2,68.4,92.9,1,3,1
20,1,64.0,49.3,1,1,0
22,4,70.8,59.8,0,2,1
13,4,74.2,78.8,0,2,1
3,2,100.0,58.4,0,3,0
4,3,50.8,65.0,1,2,0
20,4,57.6,86.9,1,2,1
19,4,53.5,53.3,1,2,1
23,2,75.2,79.0,1,3,1
24,2,57.8,85.4,1,1,1
9,3,93.8,55.6,1,2,1
7,3,65.7,66.1,1,2,0
11,1,65.0,52.5,0,1,1
14,1,91.6,49.6,0,3,0
7,2,73.3,50.8,0,2,0
2,1,55.1,94.5,1,3,0
22,4,66.4,62.3,0,3,1
17,4,59.8,66.2,0,3,1
5,3,74.5,56.4,0,3,0
18,2,60.9,53.0,0,2,1
11,1,90.4,53.2,0,3,0
14,1,74.3,99.0,1,1,1
11,1,93.2,52.7,0,3,0
19,3,85.5,66.7,1,1,1
